<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.GOLD,D,20070109,000000,622.00000,623.90000,614.80000,615.60000
SPFB.GOLD,D,20070110,000000,622.80000,622.80000,614.10000,615.50000
SPFB.GOLD,D,20070111,000000,619.00000,623.20000,618.50000,619.60000
SPFB.GOLD,D,20070112,000000,621.20000,627.50000,619.70000,625.50000
SPFB.GOLD,D,20070115,000000,629.10000,633.90000,629.10000,633.00000
SPFB.GOLD,D,20070116,000000,632.70000,634.70000,631.70000,632.00000
SPFB.GOLD,D,20070117,000000,632.00000,634.40000,627.50000,634.00000
SPFB.GOLD,D,20070118,000000,639.30000,642.00000,635.50000,637.00000
SPFB.GOLD,D,20070119,000000,634.60000,636.80000,633.40000,636.80000
SPFB.GOLD,D,20070122,000000,640.00000,644.70000,638.30000,644.10000
SPFB.GOLD,D,20070123,000000,642.00000,649.00000,641.10000,648.70000
SPFB.GOLD,D,20070124,000000,650.70000,650.70000,645.00000,645.10000
SPFB.GOLD,D,20070125,000000,650.00000,660.00000,650.00000,658.50000
SPFB.GOLD,D,20070126,000000,652.00000,654.00000,646.90000,652.90000
SPFB.GOLD,D,20070129,000000,652.00000,652.00000,647.10000,651.50000
SPFB.GOLD,D,20070130,000000,648.30000,652.90000,647.30000,651.80000
SPFB.GOLD,D,20070131,000000,652.70000,659.50000,649.00000,657.00000
SPFB.GOLD,D,20070201,000000,658.00000,666.40000,657.00000,664.00000
SPFB.GOLD,D,20070202,000000,661.20000,664.10000,650.60000,653.80000
SPFB.GOLD,D,20070205,000000,652.00000,656.80000,651.10000,654.60000
SPFB.GOLD,D,20070206,000000,655.30000,662.50000,655.30000,658.30000
SPFB.GOLD,D,20070207,000000,660.00000,661.30000,658.00000,658.30000
SPFB.GOLD,D,20070208,000000,655.50000,662.00000,653.10000,662.00000
SPFB.GOLD,D,20070209,000000,663.00000,670.80000,660.10000,666.10000
SPFB.GOLD,D,20070212,000000,669.00000,669.90000,665.90000,667.20000
SPFB.GOLD,D,20070213,000000,668.20000,673.20000,666.80000,668.80000
SPFB.GOLD,D,20070214,000000,670.00000,675.70000,670.00000,673.00000
SPFB.GOLD,D,20070215,000000,673.00000,673.60000,668.20000,670.30000
SPFB.GOLD,D,20070216,000000,671.30000,671.30000,665.50000,667.30000
SPFB.GOLD,D,20070219,000000,677.00000,677.50000,671.10000,674.20000
SPFB.GOLD,D,20070220,000000,674.00000,674.00000,662.50000,663.60000
SPFB.GOLD,D,20070221,000000,663.00000,665.00000,660.90000,664.80000
SPFB.GOLD,D,20070222,000000,678.50000,681.60000,677.40000,680.00000
SPFB.GOLD,D,20070226,000000,679.50000,689.70000,679.50000,686.90000
SPFB.GOLD,D,20070227,000000,685.50000,687.40000,676.00000,678.00000
SPFB.GOLD,D,20070228,000000,673.00000,679.00000,664.00000,668.00000
SPFB.GOLD,D,20070301,000000,671.10000,676.20000,666.50000,670.30000
SPFB.GOLD,D,20070302,000000,661.60000,664.80000,650.00000,653.40000
SPFB.GOLD,D,20070305,000000,640.00000,644.00000,632.10000,640.00000
SPFB.GOLD,D,20070306,000000,644.00000,645.60000,640.20000,642.60000
SPFB.GOLD,D,20070307,000000,643.70000,650.30000,642.10000,650.30000
SPFB.GOLD,D,20070309,000000,652.80000,656.70000,649.80000,650.30000
SPFB.GOLD,D,20070315,000000,662.70000,662.70000,661.00000,661.00000
SPFB.GOLD,D,20070316,000000,666.50000,672.40000,666.10000,670.50000
SPFB.GOLD,D,20070319,000000,671.20000,673.50000,669.50000,669.50000
SPFB.GOLD,D,20070320,000000,669.90000,676.50000,669.50000,674.70000
SPFB.GOLD,D,20070321,000000,677.10000,678.20000,673.80000,674.20000
SPFB.GOLD,D,20070322,000000,679.80000,681.20000,679.80000,680.50000
SPFB.GOLD,D,20070323,000000,676.60000,678.90000,673.00000,673.00000
SPFB.GOLD,D,20070326,000000,676.00000,679.10000,676.00000,679.10000
SPFB.GOLD,D,20070327,000000,680.10000,683.00000,678.80000,679.00000
SPFB.GOLD,D,20070328,000000,683.20000,683.20000,683.00000,683.00000
SPFB.GOLD,D,20070329,000000,681.00000,681.00000,681.00000,681.00000
SPFB.GOLD,D,20070330,000000,678.20000,679.50000,677.90000,679.40000
SPFB.GOLD,D,20070402,000000,677.70000,680.20000,673.80000,673.80000
SPFB.GOLD,D,20070403,000000,679.00000,680.60000,677.40000,680.50000
SPFB.GOLD,D,20070404,000000,680.00000,685.00000,679.00000,685.00000
SPFB.GOLD,D,20070405,000000,687.00000,687.90000,684.90000,687.10000
SPFB.GOLD,D,20070406,000000,684.00000,684.00000,684.00000,684.00000
