<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.RTS,D,20070109,000000,190105.00000,190105.00000,176505.00000,177400.00000
SPFB.RTS,D,20070110,000000,178300.00000,178300.00000,172010.00000,178250.00000
SPFB.RTS,D,20070111,000000,177500.00000,181645.00000,176000.00000,181105.00000
SPFB.RTS,D,20070112,000000,180000.00000,182000.00000,178005.00000,180295.00000
SPFB.RTS,D,20070115,000000,182000.00000,187080.00000,182000.00000,186495.00000
SPFB.RTS,D,20070116,000000,186300.00000,188620.00000,183700.00000,188500.00000
SPFB.RTS,D,20070117,000000,184000.00000,186100.00000,180000.00000,181495.00000
SPFB.RTS,D,20070118,000000,183100.00000,184900.00000,179500.00000,180000.00000
SPFB.RTS,D,20070119,000000,179605.00000,182150.00000,178605.00000,181340.00000
SPFB.RTS,D,20070122,000000,183850.00000,185935.00000,182255.00000,184700.00000
SPFB.RTS,D,20070123,000000,183700.00000,186610.00000,182700.00000,186500.00000
SPFB.RTS,D,20070124,000000,189750.00000,189750.00000,184290.00000,185350.00000
SPFB.RTS,D,20070125,000000,186005.00000,189490.00000,186000.00000,188440.00000
SPFB.RTS,D,20070126,000000,186800.00000,187850.00000,185790.00000,186485.00000
SPFB.RTS,D,20070129,000000,187895.00000,188500.00000,182650.00000,182695.00000
SPFB.RTS,D,20070130,000000,181000.00000,183300.00000,178810.00000,183200.00000
SPFB.RTS,D,20070131,000000,185000.00000,185900.00000,182600.00000,184895.00000
SPFB.RTS,D,20070201,000000,187000.00000,190305.00000,186055.00000,189740.00000
SPFB.RTS,D,20070202,000000,189985.00000,191035.00000,188100.00000,189950.00000
SPFB.RTS,D,20070205,000000,190510.00000,191850.00000,188810.00000,190400.00000
SPFB.RTS,D,20070206,000000,190000.00000,193750.00000,189900.00000,192860.00000
SPFB.RTS,D,20070207,000000,193000.00000,194195.00000,190400.00000,191400.00000
SPFB.RTS,D,20070208,000000,190005.00000,190875.00000,187050.00000,187780.00000
SPFB.RTS,D,20070209,000000,189950.00000,191100.00000,187550.00000,188845.00000
SPFB.RTS,D,20070212,000000,186105.00000,187900.00000,182350.00000,182500.00000
SPFB.RTS,D,20070213,000000,181990.00000,187985.00000,180000.00000,187450.00000
SPFB.RTS,D,20070214,000000,188900.00000,190500.00000,188210.00000,190005.00000
SPFB.RTS,D,20070215,000000,190055.00000,191895.00000,188900.00000,189300.00000
SPFB.RTS,D,20070216,000000,190005.00000,190985.00000,187600.00000,190450.00000
SPFB.RTS,D,20070219,000000,191000.00000,193250.00000,189900.00000,190100.00000
SPFB.RTS,D,20070220,000000,190000.00000,191300.00000,187805.00000,187905.00000
SPFB.RTS,D,20070221,000000,188900.00000,190950.00000,188100.00000,190460.00000
SPFB.RTS,D,20070222,000000,191520.00000,194250.00000,191020.00000,194150.00000
SPFB.RTS,D,20070226,000000,196100.00000,198225.00000,195280.00000,197950.00000
SPFB.RTS,D,20070227,000000,196900.00000,196900.00000,188765.00000,189500.00000
SPFB.RTS,D,20070228,000000,186000.00000,187000.00000,181500.00000,186300.00000
SPFB.RTS,D,20070301,000000,185500.00000,189000.00000,175000.00000,177150.00000
SPFB.RTS,D,20070302,000000,178500.00000,181205.00000,175400.00000,179305.00000
SPFB.RTS,D,20070305,000000,175995.00000,175995.00000,167100.00000,173500.00000
SPFB.RTS,D,20070306,000000,175125.00000,177950.00000,174015.00000,176240.00000
SPFB.RTS,D,20070307,000000,179300.00000,179600.00000,174305.00000,176650.00000
SPFB.RTS,D,20070309,000000,179890.00000,183550.00000,178500.00000,181350.00000
SPFB.RTS,D,20070312,000000,180885.00000,184175.00000,179725.00000,181225.00000
SPFB.RTS,D,20070313,000000,181750.00000,183600.00000,178370.00000,181750.00000
SPFB.RTS,D,20070314,000000,176000.00000,178500.00000,173500.00000,177475.00000
SPFB.RTS,D,20070321,000000,182500.00000,183585.00000,180855.00000,182695.00000
SPFB.RTS,D,20070322,000000,185005.00000,188340.00000,185005.00000,187800.00000
SPFB.RTS,D,20070323,000000,187600.00000,190800.00000,186750.00000,190670.00000
SPFB.RTS,D,20070326,000000,192890.00000,192890.00000,190590.00000,191490.00000
SPFB.RTS,D,20070327,000000,190400.00000,192245.00000,189430.00000,190020.00000
SPFB.RTS,D,20070328,000000,190555.00000,192480.00000,189655.00000,191885.00000
SPFB.RTS,D,20070329,000000,192425.00000,194650.00000,191500.00000,194560.00000
SPFB.RTS,D,20070330,000000,196000.00000,196900.00000,192525.00000,192950.00000
SPFB.RTS,D,20070402,000000,192400.00000,193200.00000,191215.00000,193105.00000
SPFB.RTS,D,20070403,000000,194000.00000,194100.00000,191250.00000,191500.00000
SPFB.RTS,D,20070404,000000,193010.00000,193500.00000,190805.00000,191410.00000
SPFB.RTS,D,20070405,000000,192790.00000,193300.00000,191700.00000,193300.00000
SPFB.RTS,D,20070406,000000,193405.00000,193905.00000,192775.00000,193765.00000
SPFB.RTS,D,20070409,000000,194105.00000,197395.00000,193815.00000,197005.00000
SPFB.RTS,D,20070410,000000,196000.00000,197995.00000,194775.00000,197300.00000
SPFB.RTS,D,20070411,000000,197890.00000,198300.00000,196715.00000,196715.00000
SPFB.RTS,D,20070412,000000,196385.00000,196630.00000,193955.00000,194165.00000
SPFB.RTS,D,20070413,000000,195700.00000,198200.00000,195700.00000,197950.00000
SPFB.RTS,D,20070416,000000,199300.00000,199400.00000,197195.00000,198515.00000
SPFB.RTS,D,20070417,000000,198010.00000,198400.00000,190000.00000,196300.00000
SPFB.RTS,D,20070418,000000,195915.00000,197445.00000,193700.00000,193700.00000
SPFB.RTS,D,20070419,000000,192105.00000,192105.00000,188285.00000,188760.00000
SPFB.RTS,D,20070420,000000,191590.00000,194715.00000,190505.00000,194395.00000
SPFB.RTS,D,20070423,000000,196250.00000,196555.00000,194115.00000,195050.00000
SPFB.RTS,D,20070424,000000,195580.00000,196400.00000,192400.00000,194105.00000
SPFB.RTS,D,20070425,000000,192970.00000,197200.00000,192000.00000,196925.00000
SPFB.RTS,D,20070426,000000,198700.00000,198800.00000,194615.00000,194615.00000
SPFB.RTS,D,20070427,000000,194000.00000,195750.00000,188700.00000,188930.00000
SPFB.RTS,D,20070428,000000,191200.00000,192600.00000,190210.00000,192000.00000
SPFB.RTS,D,20070502,000000,191785.00000,192500.00000,189375.00000,190900.00000
SPFB.RTS,D,20070503,000000,191800.00000,193300.00000,191500.00000,192315.00000
SPFB.RTS,D,20070504,000000,192625.00000,193300.00000,192005.00000,192750.00000
SPFB.RTS,D,20070507,000000,192600.00000,193545.00000,191150.00000,191515.00000
SPFB.RTS,D,20070508,000000,191600.00000,192600.00000,189610.00000,189640.00000
SPFB.RTS,D,20070510,000000,190190.00000,192500.00000,187300.00000,188000.00000
SPFB.RTS,D,20070511,000000,186000.00000,186750.00000,183000.00000,184110.00000
SPFB.RTS,D,20070514,000000,186000.00000,187625.00000,183320.00000,186355.00000
SPFB.RTS,D,20070515,000000,185900.00000,186000.00000,182400.00000,183065.00000
SPFB.RTS,D,20070516,000000,184000.00000,187200.00000,183075.00000,186975.00000
SPFB.RTS,D,20070517,000000,187770.00000,188400.00000,183215.00000,183575.00000
