<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.Si,D,20070109,000000,26439.00000,26462.00000,26432.00000,26462.00000
SPFB.Si,D,20070110,000000,26462.00000,26502.00000,26450.00000,26502.00000
SPFB.Si,D,20070111,000000,26488.00000,26550.00000,26462.00000,26510.00000
SPFB.Si,D,20070112,000000,26555.00000,26570.00000,26525.00000,26528.00000
SPFB.Si,D,20070115,000000,26530.00000,26535.00000,26514.00000,26532.00000
SPFB.Si,D,20070116,000000,26517.00000,26538.00000,26500.00000,26520.00000
SPFB.Si,D,20070117,000000,26530.00000,26550.00000,26520.00000,26548.00000
SPFB.Si,D,20070118,000000,26515.00000,26530.00000,26514.00000,26520.00000
SPFB.Si,D,20070119,000000,26490.00000,26560.00000,26465.00000,26540.00000
SPFB.Si,D,20070122,000000,26500.00000,26528.00000,26500.00000,26526.00000
SPFB.Si,D,20070123,000000,26500.00000,26507.00000,26440.00000,26440.00000
SPFB.Si,D,20070124,000000,26452.00000,26555.00000,26450.00000,26555.00000
SPFB.Si,D,20070125,000000,26475.00000,26485.00000,26470.00000,26472.00000
SPFB.Si,D,20070126,000000,26520.00000,26580.00000,26520.00000,26550.00000
SPFB.Si,D,20070129,000000,26542.00000,26550.00000,26542.00000,26548.00000
SPFB.Si,D,20070130,000000,26529.00000,26532.00000,26520.00000,26520.00000
SPFB.Si,D,20070131,000000,26540.00000,26546.00000,26500.00000,26500.00000
SPFB.Si,D,20070201,000000,26480.00000,26484.00000,26446.00000,26446.00000
SPFB.Si,D,20070202,000000,26451.00000,26470.00000,26420.00000,26470.00000
SPFB.Si,D,20070205,000000,26487.00000,26515.00000,26478.00000,26488.00000
SPFB.Si,D,20070206,000000,26495.00000,26510.00000,26470.00000,26484.00000
SPFB.Si,D,20070207,000000,26475.00000,26479.00000,26463.00000,26479.00000
SPFB.Si,D,20070208,000000,26354.00000,26374.00000,26274.00000,26274.00000
SPFB.Si,D,20070209,000000,26312.00000,26338.00000,26311.00000,26330.00000
SPFB.Si,D,20070212,000000,26335.00000,26393.00000,26335.00000,26375.00000
SPFB.Si,D,20070213,000000,26340.00000,26345.00000,26324.00000,26326.00000
SPFB.Si,D,20070214,000000,26284.00000,26284.00000,26198.00000,26220.00000
SPFB.Si,D,20070215,000000,26210.00000,26225.00000,26180.00000,26225.00000
SPFB.Si,D,20070216,000000,26200.00000,26256.00000,26200.00000,26230.00000
SPFB.Si,D,20070219,000000,26200.00000,26217.00000,26190.00000,26193.00000
SPFB.Si,D,20070220,000000,26180.00000,26206.00000,26180.00000,26204.00000
SPFB.Si,D,20070221,000000,26185.00000,26208.00000,26180.00000,26205.00000
SPFB.Si,D,20070222,000000,26225.00000,26244.00000,26206.00000,26210.00000
SPFB.Si,D,20070226,000000,26168.00000,26170.00000,26147.00000,26160.00000
SPFB.Si,D,20070227,000000,26163.00000,26163.00000,26109.00000,26109.00000
SPFB.Si,D,20070228,000000,26130.00000,26148.00000,26130.00000,26136.00000
SPFB.Si,D,20070301,000000,26116.00000,26122.00000,26104.00000,26120.00000
SPFB.Si,D,20070302,000000,26162.00000,26205.00000,26149.00000,26158.00000
SPFB.Si,D,20070305,000000,26188.00000,26286.00000,26188.00000,26261.00000
SPFB.Si,D,20070306,000000,26300.00000,26350.00000,26230.00000,26244.00000
SPFB.Si,D,20070307,000000,26244.00000,26244.00000,26222.00000,26222.00000
SPFB.Si,D,20070309,000000,26088.00000,26250.00000,26088.00000,26250.00000
